Word,Occurrences,Steps
my,756,1511
TWO,4,7
escort,10,19
several,48,95
laid,46,91
short,41,81
month,20,39
companion,3,5
mending,7,13
confessed,9,17
shouted,2,3
Heavenly,1,1
confidingly,4,7
removed,3,5
suspicions,3,5
carving,1,1
oddly,1,1
established,1,1
hesitation,1,1
parasol,5,9
coaches,1,1
numbered,1,1
thrills,1,1
bridle,1,1
unforeseen,1,1
leapfrog,1,1
scream,1,1
quick,28,55
procession,7,13
hot,25,49
Mr,311,621
seeing,25,49
pantoufles,1,1
demeanor,2,3
worthy,12,23
Chloe,1,1
respectful,8,15
BEAUTIFUL,1,1
smart,5,9
highly,9,17
asparagus,4,7
phenomenon,1,1
celebrated,2,3
offers,5,9
Par,1,1
abdicate,1,1
amendment,1,1
wary,1,1
warerooms,1,1
melodramatic,7,13
When,74,147
whisking,3,5
trembling,7,13
personage,1,1
asleep,32,63
sincerest,2,3
masquerade,3,5
barred,1,1
marks,1,1
artificial,1,1
Pocket,1,1
nowadays,3,5
mathematics,2,3
bewilder,1,1
rattlepated,2,3
discharge,1,1
causes,1,1
clothespins,2,3
luncheon,3,5
background,1,1
scarabei,1,1
quench,2,3
admonitory,1,1
unrequited,1,1
rosebud,2,3
effigy,1,1
endurable,1,1
clapped,7,13
gloomy,3,5
finishing,8,15
glancing,4,7
neither,19,37
folding,4,7
whipped,1,1
Every,10,19
Pat,1,1
translation,1,1
exultation,1,1
FAITHFUL,1,1
praiseworthy,5,9
apology,5,9
fairer,4,7
Stopped,1,1
rosiest,2,3
Niobe,1,1
complimented,2,3
scrub,1,1
fort,2,3
matches,2,3
disguise,1,1
madame,1,1
unanswerable,1,1
sauciest,1,1
how,235,469
morning,64,127
hastily,11,21
threw,18,35
dashes,2,3
Can,9,17
ludicrous,3,5
places,10,19
relished,1,1
companionship,1,1
pour,2,3
messages,5,9
Malaprop,2,3
nge,1,1
effectually,4,7
confirm,1,1
largest,1,1
decision,7,13
vale,1,1
crumbs,2,3
BETHS,1,1
drooping,1,1
supper,22,43
cricket,11,21
Hummels,8,15
fragrant,4,7
ceiling,1,1
sire,3,5
cushion,7,13
gentlemen,25,49
treacherous,1,1
NW,1,1
experiences,6,11
disdainful,1,1
patronizing,4,7
clustered,1,1
wrathful,3,5
scenes,7,13
groceries,1,1
aunts,6,11
empress,1,1
pinafores,2,3
gradually,4,7
desolated,1,1
agrees,2,3
Poor,33,65
chains,4,7
came,271,541
ladder,5,9
FOUR,4,7
pate,1,1
insulted,3,5
blushing,4,7
marriage,3,5
Paw,1,1
Boaz,1,1
remonstrated,1,1
assurances,3,5
beforehand,3,5
marole,1,1
honesty,2,3
privileges,1,1
duly,1,1
saleswomen,1,1
Luxembourg,1,1
meerschaum,2,3
imposing,2,3
healthfully,1,1
recollections,2,3
shaking,15,29
tragedian,1,1
baskets,4,7
heads,21,41
Another,9,17
eagerly,5,9
playbill,1,1
around,6,11
wisdom,6,11
carved,2,3
gratified,7,13
Fun,1,1
served,6,11
pursed,1,1
sixty,3,5
awe,1,1
moan,3,5
statuary,1,1
concoction,1,1
scenery,3,5
Mentor,1,1
manliest,1,1
paired,1,1
erste,1,1
getting,66,131
play,56,111
laughed,79,157
rumpling,4,7
hope,79,157
My,83,165
fastened,6,11
immense,6,11
capers,1,1
drank,5,9
spectators,3,5
berries,2,3
pine,1,1
wedding,21,41
fitness,1,1
JUNGFRAU,1,1
metaphysical,3,5
ecstatically,1,1
Pay,1,1
bluntness,1,1
blames,1,1
humbug,1,1
pyre,1,1
practice,9,17
mysteriously,4,7
worry,17,33
Switzerland,6,11
peeped,13,25
path,10,19
bottles,3,5
honest,12,23
entered,7,13
pains,2,3
refreshing,7,13
bruises,2,3
Milton,2,3
goin,1,1
pummelled,1,1
Touching,1,1
Belzoni,1,1
hugs,1,1
evaded,1,1
relinquished,2,3
multitude,1,1
alteration,1,1
unscathed,1,1
opens,3,5
friendless,1,1
prim,13,25
lisp,1,1
ohs,1,1
impressively,3,5
appetite,4,7
Club,2,3
broad,7,13
autumn,5,9
paint,4,7
Speak,3,5
pianee,1,1
semi,1,1
perusal,1,1
blanketed,1,1
cuff,2,3
poet,1,1
Slippers,1,1
age,18,35
rose,40,79
That,85,169
performances,5,9
apiece,4,7
burning,7,13
subsided,9,17
Moffat,28,55
relented,2,3
hornpipe,1,1
idleness,1,1
longings,2,3
penances,1,1
expound,1,1
balky,1,1
laundrywoman,1,1
leaved,1,1
aunty,1,1
Trifles,1,1
chestnut,8,15
brother,9,17
streets,3,5
masterpiece,1,1
merely,22,43
strongly,4,7
homely,3,5
sidling,1,1
affirms,1,1
fortitude,1,1
Beer,2,3
greatness,1,1
Sonata,1,1
Opy,1,1
frere,1,1
Monsieur,1,1
street,19,37
gruel,1,1
front,11,21
flourished,6,11
Would,7,13
anywhere,10,19
Neither,8,15
Nor,8,15
volcanic,1,1
funeral,6,11
situated,2,3
coffeepot,2,3
traveled,2,3
moat,1,1
Rome,8,15
Were,2,3
sleeplessness,1,1
frame,6,11
threshold,4,7
shepherd,2,3
sports,1,1
agricultural,1,1
Sensible,1,1
presiding,1,1
simmer,1,1
envying,1,1
hatred,2,3
pink,13,25
tutor,10,19
waiter,1,1
crushed,4,7
theaters,5,9
sometimes,40,79
Wont,8,15
dumb,3,5
preceded,1,1
Belle,17,33
presided,4,7
wry,2,3
plank,1,1
tops,2,3
published,1,1
Last,1,1
rejected,2,3
Romeo,1,1
sprinkled,1,1
located,1,1
veal,1,1
dressmaking,1,1
spritely,1,1
joyfully,3,5
tete,2,3
Meantime,1,1
list,1,1
nerve,1,1
despicable,1,1
dress,76,151
Not,67,133
inquiries,5,9
lent,4,7
carry,22,43
armor,2,3
pronounce,1,1
college,20,39
wash,14,27
HUMILIATION,1,1
conceit,2,3
surveyed,4,7
midsummer,3,5
bandanna,2,3
partial,1,1
firmness,2,3
snubs,1,1
thorn,2,3
Niente,1,1
structure,2,3
peddling,1,1
truly,23,45
closet,17,33
redder,6,11
beating,3,5
Several,3,5
observation,5,9
wreaths,2,3
tablecloth,1,1
violently,3,5
splendidly,4,7
LEAL,1,1
jewels,2,3
washin,1,1
afflatus,1,1
dine,1,1
ventures,1,1
preventive,1,1
Subjective,1,1
forcibly,1,1
stonyhearted,1,1
winey,1,1
does,81,161
season,6,11
camp,5,9
seams,1,1
accompaniment,2,3
instant,10,19
natured,9,17
Much,11,21
velour,1,1
cordially,3,5
caused,21,41
straps,1,1
engaged,8,15
named,4,7
capturing,1,1
surprisin,1,1
Nov,1,1
absorbing,4,7
Germans,6,11
gentlewoman,3,5
(Hannahs,1,1
applicable,1,1
Midi,1,1
squabbled,1,1
Now,131,261
servants,12,23
aware,2,3
princes,1,1
toe,1,1
meek,2,3
stock,3,5
saintly,4,7
outsiders,2,3
expatiating,1,1
mainspring,1,1
bachelorhood,1,1
alternations,1,1
delved,1,1
expects,2,3
closer,1,1
blonde,3,5
unfold,1,1
vehement,1,1
defects,1,1
lions,4,7
led,24,47
Whats,8,15
expensive,2,3
forced,5,9
luxury,11,21
brighten,4,7
wearing,7,13
platform,2,3
uncovered,2,3
OF,4,7
exulted,5,9
judged,2,3
weekly,5,9
pearls,5,9
holes,2,3
coldly,2,3
stints,1,1
dashed,2,3
addressed,1,1
placed,3,5
gentler,1,1
sidle,1,1
umbrellas,2,3
Kirkes,2,3
Dashwood,15,29
election,1,1
donkeys,1,1
kernal,2,3
righted,1,1
girl,116,231
worse,20,39
fight,11,21
afford,5,9
prolonged,1,1
learn,44,87
agreed,15,29
mange,5,9
Italian,6,11
Taking,3,5
requests,1,1
skirmishes,4,7
quarrel,7,13
Constantine,1,1
redden,1,1
lee,1,1
flung,1,1
conjured,1,1
soaps,1,1
smash,1,1
Few,1,1
Amie,1,1
lisping,1,1
appointed,2,3
pats,1,1
Maritime,1,1
wonders,2,3
imperturbable,1,1
enlightenment,1,1
no,391,781
Mouse,1,1
great,185,369
ago,31,61
Born,1,1
evident,9,17
glove,12,23
spilled,1,1
comforts,8,15
reproof,2,3
earthly,2,3
ached,4,7
rock,1,1
weeping,1,1
Johnsonian,1,1
quoting,4,7
effalunt,2,3
Sartor,1,1
reminders,1,1
quite,173,345
pins,8,15
disappointed,25,49
travel,5,9
plans,22,43
Ferdinando,1,1
comforting,3,5
pardon,26,51
remarkable,8,15
flinching,1,1
Forgive,6,11
domestic,11,21
benignly,4,7
final,3,5
specter,1,1
November,3,5
leg,3,5
proposal,1,1
baptizing,1,1
befall,1,1
lessin,1,1
colic,1,1
cakies,2,3
pouring,1,1
things,210,419
blamed,2,3
person,22,43
guidebook,4,7
appear,9,17
cheap,6,11
cover,16,31
ordered,20,39
polite,6,11
stare,4,7
carefully,23,45
maps,3,5
godmother,2,3
plant,1,1
pint,1,1
Germany,6,11
exclaim,5,9
beginners,2,3
SEVENTEEN,1,1
Witnesses:,1,1
brighter,2,3
Bacchus,1,1
senna,1,1
Womens,1,1
publishers,2,3
actions,2,3
rebelliously,3,5
oranges,2,3
foretaste,1,1
piminy,1,1
Elizabeth,2,3
especial,11,21
drafted,1,1
dangers,1,1
writers,1,1
spell,7,13
hired,1,1
ups,1,1
notice,10,19
Two,3,5
tearing,3,5
Kates,2,3
heavens,2,3
midnight,3,5
god,2,3
Praise,1,1
Shell,1,1
dursnt,1,1
Child,1,1
jellies,1,1
lasting,1,1
Shrouded,1,1
dryly,1,1
tassel,3,5
groups,2,3
patriarch,1,1
theirselves,1,1
intellect,4,7
nothingness,1,1
